wind project name,article title,paragraph ID,code,quoted evidence,opposition or support
glacier wind,"Staff Writer, 'Power from wind farm sold to California utility', Cut Bank Pioneer Press (online), 18 Jun 2008",SDG&E will work with...execute contracts.,Sustainability and Climate Issues,SDG&E will work with bidders over the following months to execute contracts.,neutral
glacier wind,"Staff Writer, 'Power from wind farm sold to California utility', Cut Bank Pioneer Press (online), 18 Jun 2008",NaturEner is a wholly...Canada and the United States.,Sustainability and Climate Issues,"NaturEner is a wholly owned subsidiary of Grupo NaturEner S.A., a renewable energy company based in Madrid, Spain.",neutral
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008",Thoreau would be pleased to...into clean energy.,Sustainability and Climate Issues,Thoreau would be pleased to see NaturEner is working to harness the powerful Montana winds and convert them into clean energy.,support
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008",Glacier and Toole Counties will...for the $400 million project.,Economy,"Glacier and Toole Counties will soon be home to Montana's largest wind farm, boasting 140 turbines that will produce 210 megawatts of electricity.",support
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008",The construction site is a...testing company.,Infrastructure,"The construction site is a bustling hub of activity, where safety comes first.",neutral
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008","Obel estimated there are 180...safety every day,"" said Dumon.",Economy,Obel estimated there are 180 to 200 workers currently onsite and that number will grow to 220 to 230 at the peak of construction.,support
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008",Heavy rains in late May...Fourth of July holiday weekend.,Infrastructure,Heavy rains in late May and early June have slowed the project down somewhat.,neutral
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008","Of the 140 turbines, 71...tests are performed on each foundation pad.",Infrastructure,"Of the 140 turbines, 71 will be located in Toole County and 69 in Glacier County.",neutral
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008",The foundation is reinforced with...tower pieces.,Infrastructure,"The foundation is reinforced with 35 tons-yes tons-of rebar, which is trucked to the site from Colorado.",neutral
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008","The blades, which many people...winds reach a level that is termed ""more destructive than productive,""",Technological Skepticism/ Optimism,"A pitch controller is also located in the blade. This allows the blade to ""feather"" and shut down when winds reach a level that is termed ""more destructive than productive,""",support
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008",NaturEner is contracting with Acciona...heading for another project.,Economy,"NaturEner is contracting with Acciona Windpower, a Spanish wind turbine generator manufacturer, to provide the state-of-the art turbines.",support
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008","Obel estimated it took 25...pressure per square inch of the towering crane are less than that of Chevy pickup, said Obel.",Infrastructure,Obel estimated it took 25 to 40 semi trucks to deliver the pieces of the 315-ft. crane used to erect the turbines.,neutral
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008","According to Obel, putting up...turbine was scheduled to be put up last week.",Economy,"According to Obel, putting up the turbines once the foundation has been prepared doesn't take long and, with good weather conditions, the crew can erect two turbines per day.",support
glacier wind,"LeAnne Kavanagh, 'Answer to area's economic development is Blowing in the wind', Cut Bank Pioneer Press (online), 18 Jun 2008",Once the project is finished...should not be accessed by unauthorized personnel.,Economy,"Once the project is finished, NaturEner officials will employ 12 to 14 full-time employees and two or three administrative staff to maintain and manage the 140 turbines.",support
glacier wind,"Staff Writer, 'NaturEner announces final plans for nearby wind farm', Cut Bank Pioneer Press (online), 28 May 2008","NaturEner USA, LLC (Naturener)...between Shelby and Cut Bank.",Sustainability and Climate Issues,NaturEner announced last week final plans for the construction of a 210 megawatt wind energy project,support
glacier wind,"Staff Writer, 'NaturEner announces final plans for nearby wind farm', Cut Bank Pioneer Press (online), 28 May 2008","""We are very happy to...this September.""",Technological Skepticism/ Optimism,"""We are very happy to announce that the first 107 MW phase of the project is currently under construction and should be on line this October,"" said Jose Maria Sanchez Seara, NaturEner's CEO.",support
glacier wind,"Staff Writer, 'NaturEner announces final plans for nearby wind farm', Cut Bank Pioneer Press (online), 28 May 2008",The timing for completion...the case again in 2008.,Economy,any pause in the PTC renewal has caused slowdowns and disruption in the development and supply chain in the wind energy industry.,neutral
glacier wind,"Staff Writer, 'NaturEner announces final plans for nearby wind farm', Cut Bank Pioneer Press (online), 28 May 2008",Even in the event...Glacier Wind Energy project.,Economy,NaturEner is optimistic the tax incentive will be renewed quickly.,support
glacier wind,"Staff Writer, 'Final plans announced for NaturEner's Glacier Wind Energy Project', Shelby Promoter (online), 28 May 2008","NaturEner USA, LLC (Naturener)...between Shelby and Cut Bank.",Sustainability and Climate Issues,"NaturEner USA, LLC (Naturener) announced last week final plans for the construction of a 210 megawatt wind energy project",support
glacier wind,"Staff Writer, 'Final plans announced for NaturEner's Glacier Wind Energy Project', Shelby Promoter (online), 28 May 2008","""We are very happy to...this September.""",Technological Skepticism/ Optimism,"""We are very happy to announce that the first 107 MW phase of the project is currently under construction and should be on line this October,"" said Jose Maria Sanchez Seara, NaturEner's CEO.",support
glacier wind,"Staff Writer, 'Final plans announced for NaturEner's Glacier Wind Energy Project', Shelby Promoter (online), 28 May 2008",The timing for completion of...the case again in 2008.,Economy,any pause in the PTC renewal has caused slowdowns and disruption in the development and supply chain in the wind energy industry.,neutral
glacier wind,"Staff Writer, 'Final plans announced for NaturEner's Glacier Wind Energy Project', Shelby Promoter (online), 28 May 2008",Even in the event the...Glacier Wind Energy project.,Economy,NaturEner is optimistic the tax incentive will be renewed quickly.,support
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-",Work on what will...in Glacier and Toole counties.,Economy,"The 210-megawatt Glacier Wind Project is owned by NaturEner USA, whose global headquarters are in Spain.",neutral
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-",Crews are grading roads...where the towers will go.,Infrastructure,"Crews are grading roads, pouring concrete and digging holes where the towers will go.",neutral
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-","""It's a beehive of...in north-central Montana.",Economy,"state Sen. Jerry Black of Shelby, who has been a big proponent of wind development",support
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-",The 210-megawatt Glacier Wind...headquarters are in Spain.,Economy,"About 60 workers are on the site, including subcontractors",support
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-",About 60 workers are...expand to 200.,Economy,"Over the next couple of months, the work force will expand to 200.",support
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-","""We're on a pretty...activity is very high,""",Economy,"the $400 million facility, which will employ 15 to 20 people",support
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-",The $400 million facility...completion in November.,Economy,local officials hope will materialize along a proposed 203-mile-long transmission line,support
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-","Once completed, the wind...south of Ethridge.",Economy,"Once completed, the wind farm will have 140 265-foot-tall towers.",neutral
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-",The general contractor for...of Minneapolis.,Economy,The general contractor for the project is M.C. Mortenson Co. of Minneapolis.,neutral
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-","""We asked the general...Montana companies to use.""",Economy,"""They did a good job of seeking out Montana companies to use.""",support
glacier wind,"'Work begins on wind farm', Billings Gazette, The (online), 20 Apr 2008 ‹https://infoweb.newsbank.com/apps/news/document-",The Judith Gap wind...megawatts of power.,Economy,"The Judith Gap wind farm, currently the state's largest, produces 135 megawatts of power.",neutral
green mountain,"Ronda Wertman; Tribune Correspondent, 'ELK GARDEN – “I’m so happy that everyone came to Elk Garden,', Mineral Daily News-",West Virginia is blessed that...out of the gloom and doom.,Economy,The energy sector is what has brought West Virginia out of the gloom and doom.,support
green mountain,"Ronda Wertman; Tribune Correspondent, 'ELK GARDEN – “I’m so happy that everyone came to Elk Garden,', Mineral Daily News-",As a state and a...growth of wind power in,Sustainability and Climate Issues,"As a state and a country we have to diversify our energy, he said, noting the growth of wind power in the last five years",support
green mountain,"Ronda Wertman; Tribune Correspondent, 'ELK GARDEN – “I’m so happy that everyone came to Elk Garden,', Mineral Daily News-",He is hoping to give...in the discussion phase.,Sustainability and Climate Issues,"He is hoping to give local students a closer look at the energy producers with tours of mines, Dominion Power and the Green Mountain Wind Farm all in the discussion phase.",neutral
green mountain,"Ronda Wertman; Tribune Correspondent, 'ELK GARDEN – “I’m so happy that everyone came to Elk Garden,', Mineral Daily News-",One of the newest forms...huge potential for growth.,Sustainability and Climate Issues,One of the newest forms of energy being tapped locally is wind.,support
green mountain,"Ronda Wertman; Tribune Correspondent, 'ELK GARDEN – “I’m so happy that everyone came to Elk Garden,', Mineral Daily News-",Our industry is really unique...as small of footprint as,Sustainability and Climate Issues,Our industry is really unique. We try to leave as small of footprint as possible.,support
green mountain,"Ronda Wertman; Tribune Correspondent, 'Elk Garden hosts first Energy Expo', Mineral Daily News-Tribune (online), 18 Sep 2018",West Virginia is blessed that...growth of wind power in,Sustainability and Climate Issues,"“As a state and a country we have to diversify our energy,” he said, noting the growth of wind power in the last five years",support
green mountain,"Ronda Wertman; Tribune Correspondent, 'Elk Garden hosts first Energy Expo', Mineral Daily News-Tribune (online), 18 Sep 2018",He is hoping to give...in the discussion phase.,Sustainability and Climate Issues,"He is hoping to give local students a closer look at the energy producers with tours of mines, Dominion Power and the Green Mountain Wind Farm all in the discussion phase.",neutral
green mountain,"Ronda Wertman; Tribune Correspondent, 'Elk Garden hosts first Energy Expo', Mineral Daily News-Tribune (online), 18 Sep 2018",One of the newest forms...potential for growth.”,Sustainability and Climate Issues,One of the newest forms of energy being tapped locally is wind.,support
green mountain,"Ronda Wertman; Tribune Correspondent, 'Elk Garden hosts first Energy Expo', Mineral Daily News-Tribune (online), 18 Sep 2018",One of the newest forms...potential for growth.”,Future and/or Character of the Community,"“There’s a huge wind resource in this area,” he said noting that is also “huge potential for growth.”",support
green mountain,"For the News Tribune, 'ELK GARDEN - Rain or shine, the Elk Garden Energy Expo is a', Mineral Daily News-Tribune (online), 14 Sep",Also outside of Town Hall...work in wind energy nearby.,Future and/or Character of the Community,A tour of the wind farm will be offered to students of the Elk Garden Primary School for a date to be set in the fall.,support
green mountain,"For the News Tribune, 'ELK GARDEN - Rain or shine, the Elk Garden Energy Expo is a', Mineral Daily News-Tribune (online), 14 Sep",At the Elk Garden Fire...and the timber industry.,Sustainability and Climate Issues,"Students were asked to depict what they see of energy everyday in their community, from the turbines, to the mines, to the power plant, and the timber industry.",neutral
green mountain,"For the News Tribune, 'ELK GARDEN - Rain or shine, the Elk Garden Energy Expo is a', Mineral Daily News-Tribune (online), 14 Sep",State Senator Randy Smith...opportunities going forward.,Partisan Parties,"State Senator Randy Smith, chairman of the WV Senate Energy, Industry, and Mining Committee, and Mineral County Senator, will be in attendance Saturday, describing the importance of energy to West Virginia.",support
green mountain,"For the News Tribune, 'Elk Garden Energy Expo still on for Saturday', Mineral Daily News-Tribune (online), 14 Sep 2018 A1",Also outside of Town Hall...work in wind energy nearby.,Future and/or Character of the Community,A tour of the wind farm will be offered to students of the Elk Garden Primary School for a date to be set in the fall.,support
green mountain,"For the News Tribune, 'Elk Garden Energy Expo still on for Saturday', Mineral Daily News-Tribune (online), 14 Sep 2018 A1",At the Elk Garden Fire...and the timber industry.,Sustainability and Climate Issues,"Students were asked to depict what they see of energy everyday in their community, from the turbines, to the mines, to the power plant, and the timber industry.",neutral
green mountain,"For the News Tribune, 'Elk Garden Energy Expo still on for Saturday', Mineral Daily News-Tribune (online), 14 Sep 2018 A1",State Senator Randy Smith...opportunities going forward.,Partisan Parties,"State Senator Randy Smith, chairman of the WV Senate Energy, Industry, and Mining Committee, and Mineral County Senator, will be in attendance Saturday, describing the importance of energy to West Virginia.",neutral
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016",When Green Mountain Wind Farm...in wind energy technology.,Technological Skepticism/ Optimism,it represented the latest in wind energy technology.,neutral
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016","Sixteen years later, it has...as newer turbines. In fact,",Technological Skepticism/ Optimism,its technology was not as efficient as newer turbines.,neutral
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016","In fact, since Green Mountain...did before, a company spokesman",Technological Skepticism/ Optimism,it was able to deliver the same 10 megawatts of power as the eight turbines did before,support
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016",“We built on the site...when it is needed. “This,Technological Skepticism/ Optimism,This is new technology that has come on in the last few years.,support
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016","Workers have begun dismantling the...in a few weeks, Garner",Future and/or Character of the Community,the farmland should be restored to its original appearance in a few weeks,neutral
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016","In the past, wind turbines...would not be purchased. With",Technological Skepticism/ Optimism,"If the energy was not needed at that time, it would not be purchased.",neutral
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016","With the energy storage technology,...demand is higher, Garner explained.",Technological Skepticism/ Optimism,that electricity is stored for times when demand is higher,support
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016",NextEra bought the Garrett wind...farms in the United States,Economy,as part of its network of 110 wind farms in the United States and Canada.,support
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016","Battery storage systems help stabilize...to the power grid, Garner",Sustainability and Climate Issues,Battery storage systems help stabilize the contribution by renewable sources such as wind and solar energy to the power grid,support
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016","“This is exciting technology that...delivered to customers,” he said.",Technological Skepticism/ Optimism,This is exciting technology that is changing the way power is delivered to customers,support
green mountain,"Randy Griffith, 'Battery system replacing some Somerset County windmills', Tribune-Democrat, The (online), 17 Nov 2016","“Wind energy continues to be...complements it well.” Copyright 2016,",Sustainability and Climate Issues,"Wind energy continues to be a valuable resource in Pennsylvania, and the storage technology complements it well.",support
green mountain,"MATT HUGHES mhughes@timesleader.com, 'The winds of change', Times Leader, The (online), 16 Sep 2012 3A","The Mehoopany Wind Farm under...in development around the world,",Sustainability and Climate Issues,"By the end of 2012, Pennsylvania will surpass 1,000 megawatts in emissions-free wind production capacity,",support
green mountain,"MATT HUGHES mhughes@timesleader.com, 'The winds of change', Times Leader, The (online), 16 Sep 2012 3A",Strategies to encourage development...in Europe's footsteps.,Economy,Some of those challenges lie in the expiration of government incentive programs helping to fund the enormous construction costs.,opposition
green mountain,"MATT HUGHES mhughes@timesleader.com, 'The winds of change', Times Leader, The (online), 16 Sep 2012 3A","Part of what's holding the...price of natural gas, Davis said.",Economy,"because the price of energy in the Northeast is tied to the price of natural gas, Davis said.",opposition
green mountain,"MATT HUGHES mhughes@timesleader.com, 'The winds of change', Times Leader, The (online), 16 Sep 2012 3A","With the price of gas...to get built,"" added Mike",Economy,"""With the price of gas being so low, driving the power down as low as it is, you're not even seeing prices that allow gas (power plants) to get built,""",opposition
green mountain,"MATT HUGHES mhughes@timesleader.com, 'The winds of change', Times Leader, The (online), 16 Sep 2012 3A","Eric Thumma, director of policy...commitment they need to grow, Thramm said.",Economy,"giving them the stability and commitment they need to grow, Thramm said.",support
green mountain,"'Alternative School staff and faculty tour Wind Farm', Mineral Daily News-Tribune (online), 15 Jun 2012 6",Alternative School staff and...tour Wind Farm,Economy,The fact is our county and our schools need consistent and predictable revenue that won't raise property taxes and doesn't require taxpayer dollars - this wind farm will do that.,support
green mountain,"'Alternative School staff and faculty tour Wind Farm', Mineral Daily News-Tribune (online), 15 Jun 2012 6",Alternative School staff and...tour Wind Farm,Sustainability and Climate Issues,These wind energy projects will increase our energy independence and help move the country away from unstable foreign energy supplies.,support
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3",The state Public Service...filed last week.,Noise,"Richard Braithwaite, whose home lies about a half-mile from the nearest Pinnacle Wind turbine, said in a complaint filed in February that he has recorded readings as high as 83.4 decibels outside his home, and indoor readings as high as 63.6 decibels, since the turbines began operating in November.",opposition
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3",The state Public Service...filed last week.,Public Health,"While there are no federal noise regulations regarding wind farms, the U.S. Environmental Protection Agency recommends outdoor noise levels of no more than 55 decibels to protect public health and safety in residential areas, farms and other places where people spend time outdoors.",opposition
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3","Braithwaite said his home's...airplane circling.""",Noise,"""Three mornings ago, it got up to 87 decibels outside,"" Braithwaite said in a telephone interview on Monday. ""When the wind's coming in from the west, it sounds like a train rumbling in the distance. When it comes in from the east - that's when the back of the windmill is pointed at me - it sounds like an airplane circling.""",opposition
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3","Braithwaite said his home's...airplane circling.""",Scenic Beauty,Braithwaite said his home's east-facing picture window now frames four turbines from Pinnacle Wind LLC's Green Mountain wind farm.,opposition
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3","I used to love...crazy migraines.""",Public Health,"""I used to love seeing the sun coming up,"" he said, ""but now, with all those wind turbine blades rotating, it's like a strobe light going off inside my house, even when the curtain's there. When the sun's coming through the blades, I get these crazy migraines.""",opposition
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3","A response to Braithwaite's...be rejected.""",Legality and Property Rights,"Instead, the company asked the PSC to drop Braithwaite's complaint on grounds that no direct term or condition contained in the text of the PSC's order allowing the project to move forward had been violated.",opposition
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3","If noise levels prove...residential areas.""",Noise,"If noise levels prove to be as high as Braithwaite alleges, Pinnacle would be ""exceeding the noise levels inside a person's home that the U.S. EPA believes is safe outside a person's home,"" Auville wrote.",opposition
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3","was told that ""the...this complaint.""",Technological Skepticism/Optimism,"Mitsubishi has designed a muffling system for the turbines ""which will hopefully mitigate the sound problem,"" Walker continued.",neutral
green mountain,"Rick Steelhammer Staff writer, 'PSC staff recommends investigation of wind farm noise complaint', Charleston Gazette (online), 3","In his complaint, Braithwaite...so loud.""",Legality and Property Rights,"""When they started putting these turbines in, I never went to any of the meetings they had about them,"" Braithwaite said. ""I thought since it was their land, they could do anything they wanted to on it. But I never thought they'd be making the turbines so close and so loud.""",opposition
